Commit,Timestamp,Detail,?????????????????????? (??????),Note
Commit ??? 1,2026-01-24 23:51:13 +0700,feat: add Google Sheets data collection and history view,???????????????: add ???????????????????????????????? Google Sheets and ???????????????????,hash=5b3b116; author=Antigravity Agent
Commit ??? 2,2026-01-25 00:02:47 +0700,feat: enforce login check and update footer text,???????????????: ?????????????????????????????????????????? and update footer text,hash=2b9abc6; author=Antigravity Agent
Commit ??? 3,2026-01-25 00:06:08 +0700,feat: switch to WHO BMI standards and add criteria note,???????????????: switch to who bmi standards and add criteria note,hash=f90a162; author=Antigravity Agent
Commit ??? 4,2026-01-25 00:13:38 +0700,chore: trigger deployment with correct user,??????????????????: trigger deployment with correct user,hash=2945dfd; author=Patchara
Commit ??? 5,2026-01-25 00:19:12 +0700,fix: redirect to welcome screen after logout,??????????: redirect to welcome screen after logout,hash=65e3ef4; author=Patchara
Commit ??? 6,2026-01-25 21:40:44 +0700,"feat: implement cloud draft sync, 24h time input, and progress bar v2","???????????????: implement cloud ???????????????????????????????????????????????, 24h ????????????, and ????????????????????????????????? v2",hash=15cdf13; author=Patchara Phongyeelar
Commit ??? 7,2026-01-25 21:45:50 +0700,feat: simplify time minutes to 15-min intervals,???????????????: simplify time minutes to 15-min intervals,hash=a150104; author=Patchara Phongyeelar
Commit ??? 8,2026-01-25 22:01:56 +0700,fix: use official google sign-in button for better ios compatibility,??????????: use official ??????????????????????????????????????????? Google button for better ????????????? Apple (iPhone/iPad) compatibility,hash=71eab28; author=Patchara Phongyeelar
Commit ??? 9,2026-01-25 22:10:20 +0700,"feat: major survey update - new structure, questions, and TMHI-15 scoring","???????????????: major survey update - new structure, questions, and ?????????????????????????????? TMHI-15",hash=1ec991b; author=Patchara Phongyeelar
Commit ??? 10,2026-01-25 22:16:21 +0700,feat: add admin dashboard with export and header setup features,???????????????: ??????????????????????????????????????????? with ?????????????????????? and header setup features,hash=d24a6a8; author=Patchara Phongyeelar
Commit ??? 11,2026-01-25 22:20:00 +0700,fix: improve admin error handling and debug logging,??????????: improve admin error handling and de?????????????????? logging,hash=38d6edd; author=Patchara Phongyeelar
Commit ??? 12,2026-01-25 22:24:03 +0700,fix: remove social card and improve ios login button rendering,??????????: remove social card and improve ????????????? Apple (iPhone/iPad) login button rendering,hash=0d22cc4; author=Patchara Phongyeelar
Commit ??? 13,2026-01-25 22:27:09 +0700,fix: add robust manual login fallback for ios/safari,??????????: add robust manual login fallback for ????????????? Apple (iPhone/iPad)/???????????????????????? Safari,hash=98ff3fc; author=Patchara Phongyeelar
Commit ??? 14,2026-01-25 23:26:25 +0700,"feat: Login UI, Title Selection, Review Flow","???????????????: login ?????????????, title selection, review flow",hash=e6d2e07; author=Patchara Phongyeelar
Commit ??? 15,2026-01-25 23:44:17 +0700,"Fix Google Login for Safari/iOS, update BMI display, reorder questions, fix Admin URL","??????????: google login for ???????????????????????? Safari/????????????? Apple (iPhone/iPad), update bmi display, reorder questions, fix admin url",hash=11f7ff8; author=Patchara Phongyeelar
Commit ??? 16,2026-01-25 23:48:56 +0700,Fix redirect URI to use origin only,??????????: redirect uri to use origin only,hash=0f3a082; author=Patchara Phongyeelar
Commit ??? 17,2026-01-25 23:50:58 +0700,Show Welcome page first with Google Login button,??????????: show welcome page first with google login button,hash=69fbd7f; author=Patchara Phongyeelar
Commit ??? 18,2026-01-26 00:04:45 +0700,"Fix iOS login with modal button, separate login and start buttons, add welcome buttons CSS","??????????: ????????????? Apple (iPhone/iPad) login with modal button, separate login and start buttons, add welcome buttons ??????????????????????",hash=371fd33; author=Patchara Phongyeelar
Commit ??? 19,2026-01-26 00:30:01 +0700,Add Supabase integration for cross-device sync,??????????: add ????????????????????????????????? integration for cross-device sync,hash=c3712fe; author=Patchara Phongyeelar
Commit ??? 20,2026-01-26 00:46:41 +0700,Fix iOS login: force manual redirect flow to avoid popup/mismatch issues,??????????: force manual redirect flow to avoid popup/mismatch issues,hash=b6d4f49; author=Patchara Phongyeelar
Commit ??? 21,2026-01-26 01:02:43 +0700,Add Admin Dashboard with Chart.js visualization,??????????: ??????????????????????????????????????????? with ???????????????????????????????????????? visualization,hash=c36526e; author=Patchara Phongyeelar
Commit ??? 22,2026-01-26 01:06:25 +0700,Fix Excel export to flatten JSON response data,??????????: ??????????????????????????????????? Excel (CSV) to flatten json response data,hash=93b9430; author=Patchara Phongyeelar
Commit ??? 23,2026-01-26 01:10:14 +0700,Fix logout logic to clear localStorage and reset state,??????????: logout logic to clear localstorage and reset state,hash=f038f8f; author=Patchara Phongyeelar
Commit ??? 24,2026-01-26 01:12:41 +0700,Fix missing progress bar CSS,??????????: missing ????????????????????????????????? ??????????????????????,hash=1db9bc1; author=Patchara Phongyeelar
Commit ??? 25,2026-01-26 01:17:05 +0700,Fix CSS class conflict for progress bar,??????????: ?????????????????????? class conflict for ?????????????????????????????????,hash=0a9b8dc; author=Patchara Phongyeelar
Commit ??? 26,2026-01-26 01:51:51 +0700,Implement advanced admin dashboard with 5 sections and logout,??????????: implement advanced admin dashboard with 5 sections and logout,hash=9ea4ffb; author=Patchara Phongyeelar
Commit ??? 27,2026-01-26 01:59:02 +0700,Fix admin dashboard processing error handling and excel download,??????????: admin dashboard processing error handling and excel download,hash=16beb7c; author=Patchara Phongyeelar
Commit ??? 28,2026-01-26 02:11:19 +0700,Fix missing stat-risk element in admin dashboard HTML,??????????: missing stat-risk element in admin dashboard html,hash=1b36bb0; author=Patchara Phongyeelar
Commit ??? 29,2026-01-26 02:36:55 +0700,Update safety questions timeframe and options,??????????: update safety questions timeframe and options,hash=94f7df6; author=Patchara Phongyeelar
Commit ??? 30,2026-01-26 10:31:47 +0700,Update survey questions and center login button text,??????????: update survey questions and center login button text,hash=d4897c4; author=Patchara Phongyeelar
Commit ??? 31,2026-01-26 10:34:02 +0700,Update DB schema docs to match survey changes,??????????: update db schema docs to match survey changes,hash=3502a3b; author=Patchara Phongyeelar
Commit ??? 32,2026-01-26 10:36:44 +0700,Add org_type to Supabase save payload,??????????: add org_type to ????????????????????????????????? save payload,hash=e61e3c9; author=Patchara Phongyeelar
Commit ??? 33,2026-01-26 10:43:22 +0700,Remove Region filter/chart from Admin Dashboard,??????????: remove region filter/chart from admin dashboard,hash=90bd864; author=Patchara Phongyeelar
Commit ??? 34,2026-01-28 16:35:11 +0700,Add UCLA Loneliness Scale survey with 20 questions,??????????: add ucla ?????????????????????? (UCLA Loneliness) with 20 questions,hash=56993c6; author=pchr-pyl
Commit ??? 35,2026-01-28 21:57:36 +0700,Trigger Vercel deployment,?????????????????????????????????????????????????????????????,hash=bf02cb2; author=pchr-pyl
Commit ??? 36,2026-01-28 22:11:33 +0700,Change Health Behaviors charts (smoke/alcohol) from Pie to Bar chart,??????????: change health behaviors charts (smoke/alcohol) from pie to bar chart,hash=4265df8; author=pchr-pyl
Commit ??? 37,2026-01-28 22:19:58 +0700,Merge remote changes with local,?????????????????????????????????????????????????????????????,hash=5bb1741; author=Patchara Phongyeelar
Commit ??? 38,2026-01-28 22:54:24 +0700,fix: update loneliness survey scale from 1-4 to 0-3 with Thai labels,??????????: update loneliness survey scale from 1-4 to 0-3 with thai labels,hash=d7b679d; author=Patchara
Commit ??? 39,2026-01-29 11:47:46 +0700,Remove Google OAuth login system and replace with email input,??????????: remove google oauth login system and replace with email input,hash=6a4cd2d; author=pchr-pyl
Commit ??? 40,2026-01-29 14:30:48 +0700,Organize project structure,??????????: organize project structure,hash=12c6706; author=pchr-pyl
Commit ??? 41,2026-02-04 10:47:32 +0700,Refactor: Separate Social dimension and update survey order,?????????????????????: separate social dimension and update survey order,hash=c14fecb; author=pchr-pyl
Commit ??? 42,2026-02-04 11:02:33 +0700,Fix: Add package.json for Render build,??????????: add package.json for render b?????????????ld,hash=878ccd1; author=pchr-pyl
Commit ??? 43,2026-02-04 11:13:06 +0700,Fix: Improve summary layout & Fix Excel export with Thai headers,??????????: improve summary layout & fix ??????????????????????????????????? Excel (CSV) with thai headers,hash=995bf7f; author=pchr-pyl
Commit ??? 44,2026-02-04 11:15:35 +0700,Fix: Add requirements.txt to satisfy Render,??????????: add req?????????????rements.txt to satisfy render,hash=aaab381; author=pchr-pyl
Commit ??? 45,2026-02-04 11:18:01 +0700,Refactor: Cleanup dead code and removed features,?????????????????????: cleanup dead code and removed features,hash=8254029; author=pchr-pyl
Commit ??? 46,2026-02-04 11:21:44 +0700,Fix: Update build script to output to public directory,??????????: update b?????????????ld script to output to public directory,hash=f5f9cfe; author=pchr-pyl
Commit ??? 47,2026-02-04 11:26:43 +0700,Fix: Add vercel.json to configure output directory,??????????: add vercel.json to configure output directory,hash=19fbc5a; author=pchr-pyl
Commit ??? 48,2026-02-04 11:35:45 +0700,Refactor: Remove requirements.txt (Render not needed),?????????????????????: remove req?????????????rements.txt (render not needed),hash=f0a574d; author=pchr-pyl
Commit ??? 49,2026-02-04 13:32:27 +0700,Fix: Export functionality for users and cleanup code,??????????: ?????????????????????? functionality for users and cleanup code,hash=201ef17; author=pchr-pyl
Commit ??? 50,2026-02-04 14:05:53 +0700,Update Social dimension questions and fix numbering,??????????: update social dimension questions and fix numbering,hash=1808ad8; author=pchr-pyl
Commit ??? 51,2026-02-04 14:07:50 +0700,Fix question text redundancy,??????????: question text redundancy,hash=102d8fa; author=pchr-pyl
Commit ??? 52,2026-02-04 14:12:45 +0700,Restore Social dimension categories,??????????: restore social dimension categories,hash=944783c; author=pchr-pyl
Commit ??? 53,2026-02-11 11:40:43 +0700,Fix admin dashboard fetch error - extract shared Supabase config,??????????: admin dashboard fetch error - extract shared ????????????????????????????????? config,hash=d346a17; author=pchr-pyl
Commit ??? 54,2026-02-11 11:42:16 +0700,Update Supabase credentials to new project,??????????: update ????????????????????????????????? credentials to new project,hash=72c6963; author=pchr-pyl
Commit ??? 55,2026-02-11 11:49:22 +0700,Revert to original Supabase credentials,??????????: revert to original ????????????????????????????????? credentials,hash=8e9062f; author=pchr-pyl
Commit ??? 56,2026-02-20 10:04:20 +0700,feat: Add URL parameter support for 14 organizations,???????????????: add url parameter support for 14 organizations,hash=f1d9f25; author=pchr-pyl
Commit ??? 57,2026-02-20 10:07:46 +0700,feat: Add welcome toast popup for organization,???????????????: add welcome toast popup for organization,hash=c9cce26; author=pchr-pyl
Commit ??? 58,2026-02-20 10:14:49 +0700,fix: adjust timing of welcome toast,??????????: adjust timing of welcome toast,hash=0a62601; author=pchr-pyl
Commit ??? 59,2026-02-20 10:30:32 +0700,chore: trigger vercel deployment,??????????????????: trigger vercel deployment,hash=ae7e9f6; author=pchr-pyl
Commit ??? 60,2026-02-20 10:50:37 +0700,fix: implement button debouncing and offline fallback,??????????: implement button debouncing and ??????????????????????????????????????????????????????,hash=530e63c; author=pchr-pyl
Commit ??? 61,2026-02-20 11:08:29 +0700,"Revert ""fix: implement button debouncing and offline fallback""","??????????: revert ""fix: implement button debouncing and ??????????????????????????????????????????????????????""",hash=bf9012a; author=pchr-pyl
Commit ??? 62,2026-03-01 13:23:02 +0700,Update from local,??????????: update from local,hash=935013f; author=Patchara Phongyeelar
Commit ??? 63,2026-03-01 13:23:18 +0700,Merge branch 'main' of https://github.com/pchr-pyl/well-being-survey,?????????????????????????????????????????????????????????????,hash=346de43; author=Patchara Phongyeelar
Commit ??? 64,2026-03-01 13:36:04 +0700,feat: add HRD ch1 survey and admin dashboard,???????????????: add ?????????????? CH1 ???????????? survey and admin dashboard,hash=46bdd66; author=Patchara Phongyeelar
Commit ??? 65,2026-03-01 14:52:58 +0700,chore: trigger vercel deploy,??????????????????: trigger vercel deploy,hash=3ea1363; author=Patchara Phongyeelar
Commit ??? 66,2026-03-01 14:53:44 +0700,deploy: update author email to trigger vercel,?????????????????????????????????????????????????????????????,hash=1f731fb; author=Patchara Phongyeelar
Commit ??? 67,2026-03-01 14:57:33 +0700,fix(ch1): remove .select() from insert to avoid anon RLS error,??????????: remove .select() from insert to avoid anon ??????????????????????? (Row Level Security) ??????????????????? error,hash=47c1cf3; author=Patchara Phongyeelar
Commit ??? 68,2026-03-01 15:00:16 +0700,fix(routing): point /admin-login to correct folder,??????????: point /admin-login to correct folder,hash=139e337; author=Patchara Phongyeelar
Commit ??? 69,2026-03-01 15:01:32 +0700,feat(ch1): add validation for staff age sum against total,???????????????: add validation for staff age sum against total,hash=1bb12d4; author=Patchara Phongyeelar
Commit ??? 70,2026-03-01 15:06:07 +0700,fix(ch1): move admin-login to root and use correct supabase project,??????????: move admin-login to root and use correct ????????????????????????????????? project,hash=a7d3439; author=Patchara Phongyeelar
Commit ??? 71,2026-03-01 15:06:34 +0700,trigger: deploy with correct vercel author email,?????????????????????????????????????????????????????????????,hash=6f735a1; author=Patchara Phongyeelar
Commit ??? 72,2026-03-01 15:09:51 +0700,trigger: deploy with old verified email,?????????????????????????????????????????????????????????????,hash=aad4c54; author=Patchara Phongyeelar
Commit ??? 73,2026-03-02 22:29:33 +0700,fix: resolve document.write TDZ bug + age-sum spinner + negative guards; add QA test report,??????????: resolve document.write tdz ?????????????????? + age-sum spinner + negative guards; add qa test report,hash=a29db83; author=Patchara Phongyeelar
Commit ??? 74,2026-03-02 23:31:13 +0700,"Fix critical bugs: step navigation, draft save, and input validation","??????????: step navigation, draft save, and input validation",hash=7ba8c11; author=Patchara Phongyeelar
Commit ??? 75,2026-03-02 23:49:52 +0700,Fix critical QA test failures: leading zeros and step navigation,??????????: leading zeros and step navigation,hash=8c1f2a5; author=Patchara Phongyeelar
Commit ??? 76,2026-03-02 23:52:53 +0700,Fix timing issue: call setupNegativeGuards after elements are ready,??????????: call setupnegativeguards after elements are ready,hash=0588264; author=Patchara Phongyeelar
Commit ??? 77,2026-03-02 23:54:36 +0700,Trigger deployment - version bump to v2.1,?????????????????????????????????????????????????????????????,hash=9b392be; author=Patchara Phongyeelar
Commit ??? 78,2026-03-03 00:28:44 +0700,Add Landing Page + Fix column mapping + Add email validation,??????????: add ????????????????????????? + fix column mapping + add email validation,hash=58acf60; author=Patchara Phongyeelar
Commit ??? 79,2026-03-03 00:37:54 +0700,Fix: Remove 4 cards from landing page + fix email button navigation,??????????: remove 4 cards from ????????????????????????? + fix email button navigation,hash=88e8c7a; author=Patchara Phongyeelar
Commit ??? 80,2026-03-03 00:43:22 +0700,"fix: TOTAL_STEPS 7->8, remap validateStep for step-0 landing, hide nav on landing, clamp prevStep to step 1","??????????: total_steps 7->8, remap validatestep for step-0 landing, hide nav on landing, clamp prevstep to step 1",hash=b0bc2ba; author=Patchara Phongyeelar
Commit ??? 81,2026-03-03 00:45:07 +0700,Fix: Update step navigation and progress for landing page integration,??????????: update step navigation and progress for ????????????????????????? integration,hash=d3f866d; author=Patchara Phongyeelar
Commit ??? 82,2026-03-03 01:00:57 +0700,"fix: add id form-nav/form-progress to HTML, fix updateUI querySelector, hide nav+progress initially on landing","??????????: add id form-nav/form-progress to html, fix update????????????? queryselector, hide nav+progress initially on landing",hash=6ff92ce; author=Patchara Phongyeelar
Commit ??? 83,2026-03-03 01:18:16 +0700,"fix: FIX2+3+4 force-hide step-0 in confirmEmailAndStart, explicit display in updateUI","??????????: fix2+3+4 force-hide step-0 in confirmemailandstart, explicit display in update?????????????",hash=647af16; author=Patchara Phongyeelar
Commit ??? 84,2026-03-03 01:24:13 +0700,"fix: silent localStorage errors, remove all auto-save error toasts, skip auto-save on landing","??????????: silent localstorage errors, remove all auto-save error toasts, skip auto-save on landing",hash=ddb4388; author=Patchara Phongyeelar
Commit ??? 85,2026-03-03 01:43:01 +0700,Fix: Use showStep() in nextStep() and prevStep() for proper navigation,??????????: use showstep() in nextstep() and prevstep() for proper navigation,hash=33c1d57; author=Patchara Phongyeelar
Commit ??? 86,2026-03-03 01:55:29 +0700,Fix: Add missing Supabase client script,??????????: add missing ????????????????????????????????? client script,hash=b1b3759; author=Patchara Phongyeelar
Commit ??? 87,2026-03-02 19:09:56 +0000,Initial plan,????????????????????????,hash=ca0fd6e; author=copilot-swe-agent[bot]
Commit ??? 88,2026-03-02 19:11:59 +0000,"Clean up: remove test/debug files, screenshots, playwright dependency; update .gitignore",?????????????????????????????????????????????????????????,hash=2c73bab; author=copilot-swe-agent[bot]
Commit ??? 89,2026-03-03 02:32:13 +0700,chore: update latest changes,??????????????????: update latest changes,hash=68e23ca; author=Patchara Phongyeelar
Commit ??? 90,2026-03-03 02:50:26 +0700,Merge branch 'copilot/clean-up-project-files' - Clean up test files and dependencies,?????????????????????????????????????????????????????????????,hash=0425eb1; author=Patchara Phongyeelar
Commit ??? 91,2026-03-03 02:54:37 +0700,"chore: remove all debug, test, and screenshot files","??????????????????: remove all de??????????????????, test, and screenshot files",hash=050ee58; author=Patchara Phongyeelar
Commit ??? 92,2026-03-03 02:55:10 +0700,chore: update .gitignore to prevent debug files,??????????????????: update .gitignore to prevent de?????????????????? files,hash=897cb77; author=Patchara Phongyeelar
Commit ??? 93,2026-03-03 15:18:39 +0700,Route /admin to unified Supabase admin login,??????????: route /admin to unified ????????????????????????????????? admin login,hash=54fbd2b; author=Patchara Phongyeelar
Commit ??? 94,2026-03-03 15:38:56 +0700,Separate CH1 login and unify admin auth with Supabase,??????????: separate ch1 login and unify admin auth with ?????????????????????????????????,hash=b2c44d6; author=Patchara Phongyeelar
Commit ??? 95,2026-03-03 15:46:18 +0700,Fix /admin dashboard page encoding and restore clean state,??????????: /admin dashboard page encoding and restore clean state,hash=da9f615; author=Patchara Phongyeelar
Commit ??? 96,2026-03-03 15:48:24 +0700,Restore admin/index.html to working version from 897cb77,??????????: restore admin/index.html to working version from 897cb77,hash=4fa4ab6; author=Patchara Phongyeelar
Commit ??? 97,2026-03-03 15:53:22 +0700,Fix /admin login page with Supabase auth and restore dashboard,??????????: /admin login page with ????????????????????????????????? auth and restore dashboard,hash=ca67754; author=Patchara Phongyeelar
Commit ??? 98,2026-03-03 08:55:54 +0000,Initial plan,????????????????????????,hash=c45d1a2; author=copilot-swe-agent[bot]
Commit ??? 99,2026-03-03 08:59:40 +0000,Switch all fonts to IBM Plex Sans Thai Looped,??????????: switch all fonts to ibm plex sans thai looped,hash=430c478; author=copilot-swe-agent[bot]
Commit ??? 100,2026-03-03 16:10:23 +0700,Merge pull request #2 from pchr-pyl/copilot/update-font-to-ibm-plex-sans-thai,?????????????????????????????????????????????????????????????,hash=e37094c; author=Patchara Phongyeelar
Commit ??? 101,2026-03-03 16:48:07 +0700,feat: Update to Well-being Survey v3.0 - 5-part structure,???????????????: update to well-being survey v3.0 - 5-part structure,hash=58bbd9e; author=Patchara Phongyeelar
Commit ??? 102,2026-03-03 16:51:56 +0700,feat: Update admin dashboard for v3.0,???????????????: update admin dashboard for v3.0,hash=3b6842f; author=Patchara Phongyeelar
Commit ??? 103,2026-03-03 22:55:22 +0700,feat: Complete rewrite to Well-being Survey v3.0 - 5 part structure,???????????????: complete rewrite to well-being survey v3.0 - 5 part structure,hash=592e01c; author=Patchara Phongyeelar
Commit ??? 104,2026-03-03 22:57:39 +0700,feat: Update admin dashboard for v3.0,???????????????: update admin dashboard for v3.0,hash=d546096; author=Patchara Phongyeelar
Commit ??? 105,2026-03-03 23:04:30 +0700,fix: Remove age validation to allow any values,??????????: remove age validation to allow any values,hash=5f66e03; author=Patchara Phongyeelar
Commit ??? 106,2026-03-03 23:05:55 +0700,feat: Add age distribution validation,???????????????: add age distribution validation,hash=c014931; author=Patchara Phongyeelar
Commit ??? 107,2026-03-03 23:15:00 +0700,feat: Add comprehensive validation for staff distribution,???????????????: add comprehensive validation for staff distribution,hash=47b0f7f; author=Patchara Phongyeelar
Commit ??? 108,2026-03-03 23:19:00 +0700,feat: Add automatic calculation for turnover and transfer rates,???????????????: add automatic calculation for turnover and transfer rates,hash=68d27c5; author=Patchara Phongyeelar
Commit ??? 109,2026-03-03 23:22:06 +0700,feat: Add 'Other (specify)' field for staff types,???????????????: add 'other (specify)' field for staff types,hash=7914629; author=Patchara Phongyeelar
Commit ??? 110,2026-03-03 23:26:18 +0700,Add comprehensive admin portal and update HRD Ch1 form,??????????: add comprehensive admin portal and update ?????????????? CH1 ???????????? form,hash=97c83ae; author=Patchara Phongyeelar
Commit ??? 111,2026-03-03 23:41:44 +0700,Clean up project and add /admin route,?????????????????????????????????????????????????????????,hash=83e820a; author=Patchara Phongyeelar
Commit ??? 112,2026-03-03 23:46:35 +0700,Add predefined Wellbeing Survey orgs and improve sidebar toggle,??????????: add predefined wellbeing survey orgs and improve sidebar toggle,hash=4abc3ee; author=Patchara Phongyeelar
Commit ??? 113,2026-03-04 00:00:38 +0700,fix: remove invalid outputDirectory and stale rewrites from vercel.json,??????????: remove invalid outputdirectory and stale rewrites from vercel.json,hash=1d3ad4e; author=Patchara Phongyeelar
Commit ??? 114,2026-03-04 00:07:07 +0700,fix: remove UTF-8 BOM from vercel.json causing Vercel deployment failure,??????????: remove utf-8 bom from vercel.json causing vercel deployment failure,hash=87febd7; author=Patchara Phongyeelar
Commit ??? 115,2026-03-04 00:10:14 +0700,fix: restore outputDirectory for static site (no BOM),??????????: restore outputdirectory for static site (no bom),hash=8f7df4a; author=Patchara Phongyeelar
Commit ??? 116,2026-03-04 00:20:30 +0700,feat: add floating expand button for sidebar toggle,???????????????: add floating expand button for sidebar toggle,hash=e328871; author=Patchara Phongyeelar
Commit ??? 117,2026-03-04 00:42:37 +0700,"feat: sidebar edge-tab toggle, add dcy/doh_main orgs to WB_ORGS","???????????????: sidebar edge-tab toggle, add dcy/doh_main orgs to wb_orgs",hash=7b04c73; author=Patchara Phongyeelar
Commit ??? 118,2026-03-04 05:24:25 +0700,fix: remove UTF-8 BOM from ch1.html causing garbled Thai text,??????????: remove utf-8 bom from ch1.html causing garbled thai text,hash=c9a81ad; author=Patchara Phongyeelar
Commit ??? 119,2026-03-05 06:02:44 +0700,fix(ch1): remove v3.0 (5 ????) version text from header and meta,??????????: remove v3.0 (5 ????) version text from header and meta,hash=bf8c8fb; author=Patchara Phongyeelar
Commit ??? 120,2026-03-05 06:28:06 +0700,Update turnover section layout to table format,??????????: update turnover section layout to table format,hash=591853f; author=Patchara Phongyeelar
Commit ??? 121,2026-03-05 11:54:08 +0700,Update Section 5 numbering: renumber questions 17-19 and add Intervention Packages feedback question,??????????: update section 5 numbering: renumber questions 17-19 and add intervention packages feedback question,hash=dce1a2b; author=pchr-pyl
Commit ??? 122,2026-03-05 12:06:00 +0700,Update question 17 to use Click to Rank layout,??????????: update question 17 to use click to rank layout,hash=e85af87; author=pchr-pyl
Commit ??? 123,2026-03-05 12:49:01 +0700,feat: Add interactive ranking system and PDF upload support,???????????????: add ????????? ?????????????????????????????????????????? and ??????????????????????????? PDF ?????? 1MB support,hash=60839fd; author=pchr-pyl
