"ฟังก์ชั่นการทำงาน","ส่วนของระบบ","เทคโนโลยีที่ใช้","ระยะเวลาที่ใช้พัฒนา (ประมาณการ)","สถานะ"
"หน้าต้อนรับและคำชี้แจงก่อนทำแบบสำรวจ","ผู้ใช้งาน (บุคลากร)","HTML5, CSS, Vanilla JavaScript","1 วัน","เสร็จสิ้น"
"ระบบล็อกอินและยืนยันตัวตนด้วยอีเมลก่อนเพื่อเข้าสู่ระบบ","ผู้ใช้งาน (บุคลากร)","Supabase Auth, JavaScript","1 วัน","เสร็จสิ้น"
"ระบบเข้าแบบฟอร์มตรงตามองค์กรด้วยลิงก์เฉพาะอัตโนมัติ","ผู้ใช้งาน (บุคลากร)","URL Parameters, JavaScript","0.5 วัน","เสร็จสิ้น"
"ระบบแสดงชื่อและจัดการการตั้งค่าแบบฟอร์มตามองค์กร","ผู้ใช้งาน (บุคลากร)","JavaScript DOM Manipulation","0.5 วัน","เสร็จสิ้น"
"การแสดงคำถามแบ่งเป็นส่วน (สุขภาพกาย, ใจ, สังคม, ฯลฯ)","ผู้ใช้งาน (บุคลากร)","JavaScript Form Renderer","3 วัน","เสร็จสิ้น"
"รองรับคำถามชนิดตัวเลือก เติมคำ วันเวลา สเกลประเมิน ฯลฯ","ผู้ใช้งาน (บุคลากร)","HTML5 Input Types, CSS","2 วัน","เสร็จสิ้น"
"ระบบบังคับและการตรวจคำตอบที่ถูกต้องก่อนให้ผ่านหน้าเว็บ","ผู้ใช้งาน (บุคลากร)","JavaScript Validation","1 วัน","เสร็จสิ้น"
"ระบบตารางจำข้อมูลแบบร่างอัตโนมัติ แม้ผู้ใช้ปิดเว็บไปก็ทำต่อได้","ผู้ใช้งาน (บุคลากร)","Browser LocalStorage","1.5 วัน","เสร็จสิ้น"
"การกู้คืนตำแหน่งหน้าแบบสอบถามและคำตอบล่าสุด","ผู้ใช้งาน (บุคลากร)","JavaScript State Management","1 วัน","เสร็จสิ้น"
"ป้องกันปัญหาเซิร์ฟเวอร์หน่วงด้วยการบล็อกกดยืนยันข้อมูลซ้ำ","ผู้ใช้งาน (บุคลากร)","JavaScript Debouncing","0.5 วัน","เสร็จสิ้น"
"ตัวจำข้อมูลออฟไลน์ชั่วคราว หากอินเทอร์เน็ตขาดหายยังกดทำต่อได้","ผู้ใช้งาน (บุคลากร)","Service Worker, Cache API","2 วัน","เสร็จสิ้น"
"ซิงก์ข้อมูลกลับสู่เครื่องแม่ข่ายอัตโนมัติเมื่ออินเทอร์เน็ตกลับมา","ผู้ใช้งาน (บุคลากร)","Background Sync API","1 วัน","กำลังพัฒนา"
"แบบประเมินความรู้สึกอ้างอิง UCLA Loneliness Scale (20 ข้อ)","ผู้ใช้งาน (บุคลากร)","JavaScript Array Mapping","1 วัน","เสร็จสิ้น"
"แบบประเมินสุขภาพจิต (TMHI-15) มาตรฐานของกรมสุขภาพจิต","ผู้ใช้งาน (บุคลากร)","Custom Scoring Logic","1 วัน","เสร็จสิ้น"
"หน้าจอสำหรับดาวน์โหลดและพิมพ์แบบสำรวจสรุปเป็นไฟล์เอกสาร PDF","ผู้ใช้งาน (บุคลากร)","Print CSS Media Queries","1 วัน","เสร็จสิ้น"

"การออกแบบฟอร์มระดับผู้ใช้สิทธิ์องค์กร CH1 (แบบหลายขั้นตอน)","ผู้ใช้งาน (HR องค์กร)","JavaScript Flow Control","4 วัน","เสร็จสิ้น"
"แถบแสดงความคืบหน้าการกรอกข้อมูลแต่ละขั้นให้ดูง่าย","ผู้ใช้งาน (HR องค์กร)","CSS Animations, JavaScript","0.5 วัน","เสร็จสิ้น"
"ระบบสูตรในการคำนวณคณิตศาสตร์ตัวแปรบุคลากรแบบเรียลไทม์","ผู้ใช้งาน (HR องค์กร)","JavaScript Real-time Math","1 วัน","เสร็จสิ้น"
"ระบบตัวช่วยคำนวณอัตราการลาออกและโอนย้ายของพนักงานตาราง 5 ปี","ผู้ใช้งาน (HR องค์กร)","JavaScript Calculations","1 วัน","เสร็จสิ้น"
"จุดตรวจดักจับการพิมพ์ตัวเลขขัดแย้ง ตัวเลขติดลบ และค่าที่ไม่ได้รูปแบบ","ผู้ใช้งาน (HR องค์กร)","Input Guards","0.5 วัน","เสร็จสิ้น"
"หน้าเว็บกราฟิกแบบอินเตอร์แอคทีฟสำหรับการจัดอันดับ 3 จุดเน้นพัฒนา","ผู้ใช้งาน (HR องค์กร)","Interactive Ranking UI","1 วัน","เสร็จสิ้น"
"ระบบการกดอัพโหลดไฟล์แผนความก้าวหน้าและการจัดการฝั่งเซิร์ฟเวอร์","ผู้ใช้งาน (HR องค์กร)","Supabase Storage API","1 วัน","เสร็จสิ้น"
"ปุ่มกดและฟังก์ชั่นบันทึกแบบร่างรายงาน CH1 ล่วงหน้าก่อนอนุมัติ","ผู้ใช้งาน (HR องค์กร)","Supabase Insert/Update","1 วัน","เสร็จสิ้น"
"ปุ่มกดและฟังก์ชั่นปิดการส่งข้อมูลสมบูรณ์ ป้องกันการนำกลับมาแก้ไข","ผู้ใช้งาน (HR องค์กร)","Supabase Lifecycle Status","1 วัน","เสร็จสิ้น"
"ระบบการบล็อคกันชนไม่ให้ 1 องค์กรส่งรายงาน CH1 ซ้อนมากกว่า 1 ชุด","ผู้ใช้งาน (HR องค์กร)","PostgreSQL Constraints","0.5 วัน","เสร็จสิ้น"
"ช่องทางรับรหัสผ่านแรกเริ่มเข้าใช้งานบัญชีส่วนตัวองค์กร 15 แห่ง","ผู้ใช้งาน (HR องค์กร)","Node.js Generator","1 วัน","เสร็จสิ้น"

"ประตูเชื่อมต่อระบบหลังบ้าน และแผงคุมเฉพาะผู้ดูแลระบบ","ผู้ดูแลระบบ (Admin)","Supabase Auth Settings","1 วัน","เสร็จสิ้น"
"ระบบแบ่งแยกการมองเห็นด้วยชั้นสิทธิ์ (Super Admin / Admin / Viewer)","ผู้ดูแลระบบ (Admin)","Role-based Access Control","1 วัน","เสร็จสิ้น"
"แดชบอร์ดหน้ารวมสรุปข้อมูลความเคลื่อนไหวของผู้ตอบผ่านกราฟ","ผู้ดูแลระบบ (Admin)","JavaScript, Chart.js","3 วัน","เสร็จสิ้น"
"การวิเคราะห์พฤติกรรมภาพรวมพร้อมแผนภูมิและตัวคัดกรองข้อมูล","ผู้ดูแลระบบ (Admin)","Chart.js Data Visualization","2 วัน","เสร็จสิ้น"
"ตารางและช่องกรองข้อมูลผู้ตอบตามองค์กร ปีเวลา และลักษณะประชากร","ผู้ดูแลระบบ (Admin)","Supabase Query Filters","1.5 วัน","เสร็จสิ้น"
"แท็บดูข้อมูลและคำตอบการประเมินแบบรายบุคคล","ผู้ดูแลระบบ (Admin)","Data Table Rendering","1 วัน","เสร็จสิ้น"
"ปุ่มดาวน์โหลดรายงานข้อมูลท้้งหมดออกเป็นไฟล์ตาราง CSV ภูมิเพื่อไปวิเคราะห์","ผู้ดูแลระบบ (Admin)","JavaScript CSV generation","1 วัน","เสร็จสิ้น"
"การดึงคำตอบของแบบสอบถามหนึ่งรายการออกเป็นเอกสาร PDF แจกจ่าย","ผู้ดูแลระบบ (Admin)","Browser Print Logic","1 วัน","เสร็จสิ้น"
"หน้าคุมระบบเพิ่มลบและแก้ไขรายชื่อองค์กรทั้งหมดบนระบบแบบรวดเร็ว","ผู้ดูแลระบบ (Admin)","Supabase Table, Admin UI","2 วัน","เสร็จสิ้น"
"หน้าเมนูจัดการผู้ใช้งาน เปลี่ยนรหัสผ่าน และเพิ่ม/ลดสิทธิ์เข้าถึง (Viewer/Admin)","ผู้ดูแลระบบ (Admin)","Supabase Auth API","3 วัน","เสร็จสิ้น"
"ปุ่มพิเศษและโปรแกรมคำสั่งผลิตสร้างบัญชีและรหัสผ่านหน่วยงานทั้ง 15 แห่ง","ผู้ดูแลระบบ (Admin)","Deno Edge Functions","1.5 วัน","เสร็จสิ้น"
"ส่วนกำหนดเวลาของแผงระยะกิจกรรมในการเปิด/ปิดให้ทำแบบสอบถามออนไลน์","ผู้ดูแลระบบ (Admin)","Supabase Database Triggers","1 วัน","กำลังพัฒนา"
"หมวดเมนูสำหรับการเข้าไปลบกวนเพิ่มและเรียบเรียงแก้ไขข้อความคำถามในระบบ","ผู้ดูแลระบบ (Admin)","PostgreSQL Schema Editing","2 วัน","รอการพัฒนา"

"กลไกบังคับการเข้าถึงและการรั่วไหลจากชั้นโครงสร้างเซิร์ฟเวอร์รหัสแน่นหนา (RLS)","ระบบหลังบ้าน (Backend)","Row Level Security (RLS)","3 วัน","เสร็จสิ้น"
"โพลิซี่กั้นการดักจับเส้นทางการเขียนข้อมูลจากผู้ใช้ภายนอกระบบ","ระบบหลังบ้าน (Backend)","Supabase Access Policies","0.5 วัน","เสร็จสิ้น"
"ระบบคอร์ฟังก์ชันคลาวด์ผลิตรหัสผ่านส่งผ่านและจำแลงการยืนยันรหัส","ระบบหลังบ้าน (Backend)","Deno Serverless Functions","1 วัน","เสร็จสิ้น"
"ระบบเก็บไฟล์บันทึกการกระทำที่สำคัญไว้บนฐานข้อมูลแอดมิน เพื่อตามรอย (Audit)","ระบบหลังบ้าน (Backend)","PostgreSQL Data Tracking","1 วัน","รอการพัฒนา"
"ระบบเชื่อมข้อมูลทอดสองสำหรับการย้ายและจำลองแผ่นชีต Google แบบออโต้","ระบบหลังบ้าน (Backend)","Google Apps Script API","2 วัน","เสร็จสิ้น"
"มาตรการตรวจทานรหัสและตัวสแกนหาข้อผิดพลาดก่อนโปรเจ็กต์ขึ้นรัน","ระบบหลังบ้าน (Backend)","Shell Scripts Security Check","1 วัน","เสร็จสิ้น"
"กระบวนการตรวจความพร้อมและการเผยแพร่โครงข่ายเซิร์ฟเวอร์อัตโนมัติ (CI/CD)","ระบบหลังบ้าน (Backend)","GitHub Actions, Vercel","1.5 วัน","เสร็จสิ้น"
"หัวระบบเพิ่มความเร็วให้การบริการภาพแลกเปลี่ยนหน้าหน้าต่างข้อมูล (Cache API)","ระบบหลังบ้าน (Backend)","Cache-Control Delivery","0.5 วัน","เสร็จสิ้น"
"ตัวบันทึกรายการคำพูดจับกลไกบั๊กข้อผิดพลาด และสแปมเวลาการหยุดชะงักของเว็บ","ระบบหลังบ้าน (Backend)","Custom Exception Logging","0.5 วัน","เสร็จสิ้น"
"เครื่องตัดพฤติกรรมเมื่อมีการดาวน์โหลดและดึงคำถามระบบความถี่เยอะเกินเหตุ","ระบบหลังบ้าน (Backend)","Rate Limiting Scripts","1 วัน","เสร็จสิ้น"
"กลไกรากฐานเผื่อส่องทางไปสู่การรองรับภาษามากกว่า 2 ภาษา (Thai/English)","ระบบหลังบ้าน (Backend)","i18n Implementation","1 วัน","กำลังพัฒนา"
"แผนอัพเดตสถาปัตยกรรมโค้ดขนาดใหญ่ให้รองรับโมดูลแตกแขนงเพื่อขยายได้มากเพิ่มขึ้น","ระบบหลังบ้าน (Backend)","Monolithic to Micro-apps","7 วัน","รอการพัฒนา"
